Children (4 to 5 years old) overweight and obesity prevalence,Coherence - time period differences,,,
Adult (18+) overweight and obesity prevalence,Coherence - time period and age differences,,,
5 year olds achieving 'expected level' on communication early learning goals,Coherence - Education devolved policy area,,,
5 year olds achieving 'expected level' on literacy early learning goals,Coherence - Education devolved policy area,,,
5 year olds achieving 'expected level' on maths early learning goals,Coherence - Education devolved policy area,,,
Young people achieving GCSEs (and equivalent qualifications) in English and Maths by age 19,Not publicly available - figure available for L2 qualifications for older age groups,,,
Percentage of education establishments rated good or outstanding by OFSTED,Coherence - Education inspection frameworks not directly comparable,,,
Number of starts on apprenticeships,"Data available for starts, excluded because data for completions are not available",,,
Number of completions on apprenticeships,Not publicly available from 2019/20 due to the suspension of performance measures. There were methodological differences with previously published data.,,,
Net additions to the housing stock,Coherence - differences in data collection,,,
,,,,
Indicators excluding data for Scotland,,,,
,,,,
Indicator,Reason not available,,,
Average travel time to nearest employment centre with 500 to 4999 jobs available by public transport or walking,Department for Transport data only for England,,,
Average travel time to nearest employment centre with 500 to 4999 jobs available by cycle,Department for Transport data only for England,,,
Average travel time to nearest employment centre with 500 to 4999 jobs available by car,Department for Transport data only for England,,,
Children (4 to 5 years old) overweight and obesity prevalence,Coherence - time period differences,,,
Adult (18+) overweight and obesity prevalence,Coherence - time period and age differences,,,
5 year olds achieving 'expected level' on communication early learning goals,Coherence - Education devolved policy area,,,
5 year olds achieving 'expected level' on literacy early learning goals,Coherence - Education devolved policy area,,,
5 year olds achieving 'expected level' on maths early learning goals,Coherence - Education devolved policy area,,,
Young people achieving GCSEs (and equivalent qualifications) in English and Maths by age 19,Coherence - Education devolved policy area,,,
Percentage of education establishments rated good or outstanding by OFSTED,Coherence - Education inspection frameworks not directly comparable,,,
Number of starts on apprenticeships,Not publicly available - data available at county level only,,,
Number of completions on apprenticeships,Not publicly available - data available at county level only,,,
Net additions to the housing stock,Coherence - differences in data collection,,,
,,,,
Indicators with older local authority boundaries,,,,
"The Subnational indicators explorer is built on 2021 lower tier local authorities (local authority districts and unitary authorities). Where the underlying data are not available for 2021 boundaries, data points for local authorities that recently underwent changes will not appear in the interactive tool but will be available in the accompanying dataset and in the data download.",,,,
,,,,
Indicator,Boundary year,,,
Average travel time to nearest employment centre with 500 to 4999 jobs available by public transport or walking,Different years (2012 - 2019),,,
Average travel time to nearest employment centre with 500 to 4999 jobs available by cycle,Different years (2012 - 2019),,,
Average travel time to nearest employment centre with 500 to 4999 jobs available by car,Different years (2012 - 2019),,,
Adults that currently smoke cigarettes,"2019 for England and Wales, 2018 for Scotland",,,
Children (4 to 5 years old) overweight and obesity prevalence,2020,,,
Young people achieving GCSEs (and equivalent qualifications) in English and Maths by age 19,2019,,,
Average life satisfaction rating,2019,,,
Average feeling that things done in life are worthwhile rating,2019,,,
Average happiness rating,2019,,,
Average anxiety rating,2019,,,
Net additions to the housing stock,2020,,,
,,,,
Indicators not available at local authority district level,,,,
"Data for 6 indicators are only published for upper tier local authorities (counties and unitary authorities) and not for lower tier local authorities (local authority districts and unitary authorities). Where the underlying data are not available for local authority districts, data points for local authority districts will not appear in the interactive tool but data for the corresponding county will be available in this dataset and in the data download.",,,,
,,,,
Indicator,,,,
Female healthy life expectancy,,,,
Male healthy life expectancy,,,,
5 year olds achieving 'expected level' on communication early learning goals,,,,
5 year olds achieving 'expected level' on literacy early learning goals,,,,
5 year olds achieving 'expected level' on maths early learning goals,,,,
Percentage of education establishments rated good or outstanding by OFSTED,,,,
,,,,
Other areas with missing data,,,,
"In some data sources, data is unavailable for City of London and the Isles of Scilly due to small sample size, or because the data is unrepresentative of the areas.",,,,
