"Metric data sources, explanation and geographies",,,,,,,,,,,,,,,,,,
As reviewed on 27/01/2022,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Indicator,Shortened (name in jitter plot visualisation),Description,Levelling Up category,Are higher values represented positively or negatively in the jitter plot visualisation?,Measure,Feature in jitter plots?,Nations included,Source UK,Source GB,Source Eng,Source Wales,Source Scot,Source NI,UK source further details (27/01/2021),Subject matter date,Geography definition,District boundary date,
5 year olds achieving 'expected level' on literacy early learning goals,Early years literacy,Early years foundation stage profile attainment of 5 year olds. Percentage achieving at least 'expected' or 'exceeded' across all literacy learning goals.,Spreading opportunity and improving public services,Positive,Percentage,Yes,England,,,DfE,,,,"Download: EYFSP 2019 Tables (EYFSP_2019_Tables.xlsx)
Tab: Table 3a
Column: 'Literacy' '% achieving at least expected across all learning goals in learning area' [AT]",2019,LA - County/UA,2019,
5 year olds achieving 'expected level' on maths early learning goals,Early years maths,Early years foundation stage profile attainment of 5 year olds. Percentage achieving at least 'expected' or 'exceeded' across all mathematics learning goals.,Spreading opportunity and improving public services,Positive,Percentage,Yes,England,,,DfE,,,,"Download: EYFSP 2019 Tables (EYFSP_2019_Tables.xlsx)
Tab: Table 3a
Column: 'Mathematics' '% achieving at least expected across all learning goals in learning area' [BD]",2019,LA - County/UA,2019,
Young people achieving GCSEs (and equivalent qualifications) in English and Maths by age 19,GCSEs (and equivalent) in English and Maths by age 19,Percentage of young people achieving GCSEs (and equivalent qualifications) in English and Maths by age 19,Spreading opportunity and improving public services,Positive,Percentage,Yes,England,,,DfE,,,,"Download: Download All Data (level-2-and-3-attainment-by-young-people-aged-19_2019-20.zip)
File: state_sector_lad_data_16_19_time_period_based_on_the_academic_year_the_young_person_turned_19.csv
Column: L2_em [Z]
Filters: time_period = 201920
geography = Local authority district
age = 19
Qualification_level = Total
characteristic_group = Total
number_or_percentage = Percentage",2019-2020,LA - District/UA,2019,
Schools and nurseries rated good or outstanding by OFSTED,Schools and nurseries rated good or outstanding,"Percentage of state funded Nursery, Primary schools, Secondary schools, Alternative Provision (AP) schools and Special schools that are rated ‘Good’ or ‘Outstanding’ by OFSTED ",Spreading opportunity and improving public services,Positive,Percentage,Yes,England,,,OFSTED,,,,"Download: State-funded schools inspections and outcomes as at 31 August 2021 charts and tables
Tab: T5_Most_recent_LA_Region
Tables: 5a
Columns: Sum together the ‘Outstanding%’ [I] and ‘Good%’ [J] columns
Processing: Use the lookup codes for Combined Authorities and Counties to assign the data to codes.",09/2020 - 08/2021,LA - County/UA,2021,
Number of starts on apprenticeships,Apprenticeships starts,Count of apprenticeships started by adults aged 16+ based on home address.,Spreading opportunity and improving public services,Positive,Courses started,No - only shown in the data table,England,,,DFE,,,,"Explore data and files
Create tables
Create your own table tab
Geographical breakdowns – detailed (reported to date)
Local Authority District -> select all 310 options
Start date 2020/21 (same for end date)
Starts and Achievements (completions)
Choose ‘total’ ONLY for for all the category selections.
Create table",2020/21,LA - District/UA,2021,
Number of completions on apprenticeships,Apprenticeships completions,Count of apprenticeships achieved by adults aged 16+ based on home address.,Spreading opportunity and improving public services,Positive,Courses completed,No - only shown in the data table,England,,,DFE,,,,"Explore data and files
Create tables
Create your own table tab
Geographical breakdowns – detailed (reported to date)
Local Authority District -> select all 310 options
Start date 2020/21 (same for end date)
Starts and Achievements (completions)
Choose ‘total’ ONLY for for all the category selections.
Create table",2020/21,LA - District/UA,2021,
4G coverage provided by at least one mobile network provider,4G coverage,Percentage of geographic areas with 4G signal outdoors from at least 1 operator (signal threshold: 105dBm),"Boosting productivity, pay, jobs and living standards",Positive,Percentage,No - only shown in the data table,UK,OFCOM,,,,,,"Download: Mobile coverage local and unitary authority data (202105_mobile_laua_r01.csv)
Columns: Column [BT] (4G_geog_out_0)
Processing: 100 minus Column [BT]",May-21,LA - District/UA,2021,
Average life satisfaction rating,Life satisfaction,The average rating of those that feel satisfied about their lives.,Spreading opportunity and improving public services,Positive,Score 0 (not at all) - 10 (completely),Yes,UK,ONS  ,,,,,,"Download: April 2020 to March 2021 – Local authority update edition of this dataset (headlineestimatespersonalwellbeing2020to2021.xlsx)
Tab: Life Satisfaction - Means
Column: 2020/21 [M]
Fliter: Geographical Designation [C] = 'Local Authority'",04/2020-03/2021,LA - District/UA,2019,
Average feeling that things done in life are worthwhile rating,Feeling life is worthwhile,The average rating of those that feel the things they do in life are worthwhile.,Spreading opportunity and improving public services,Positive,Score 0 (not at all) - 10 (completely),Yes,UK,ONS  ,,,,,,"Download: April 2020 to March 2021 – Local authority update edition of this dataset (headlineestimatespersonalwellbeing2020to2021.xlsx)
Tab: Worthwhile - Means
Column: 2020/21 [M]
Fliter: Geographical Designation [C] = 'Local Authority'",04/2020-03/2021,LA - District/UA,2019,
Average happiness rating,Happiness,The average rating of those that felt happy yesterday.,Spreading opportunity and improving public services,Positive,Score 0 (not at all) - 10 (completely),Yes,UK,ONS  ,,,,,,"Download: April 2020 to March 2021 – Local authority update edition of this dataset (headlineestimatespersonalwellbeing2020to2021.xlsx)
Tab: Happy - Means
Column: 2020/21 [M]
Fliter: Geographical Designation [C] = 'Local Authority'",04/2020-03/2021,LA - District/UA,2019,
Average anxiety rating,Anxiety,The average rating of those that felt anxious yesterday.,Spreading opportunity and improving public services,Negative,Score 0 (not at all) - 10 (completely),Yes,UK,ONS  ,,,,,,"Download: April 2020 to March 2021 – Local authority update edition of this dataset (headlineestimatespersonalwellbeing2020to2021.xlsx)
Tab: Anxiety - Means
Column: 2020/21 [M]
Fliter: Geographical Designation [C] = 'Local Authority'",04/2020-03/2021,LA - District/UA,2019,
Net additions to the housing stock,New houses,"Absolute increase in dwelling stock (including new builds, conversions, changes of use, other gains/losses and offset by demolitions).","Restoring a sense of community, local pride and belonging",Positive,Number of dwellings,No - only shown in the data table,England,,,DLUHC,,,,"Download: Table 122: housing supply; net additional dwellings, by local authority district, England (Live_table_122.ods)
Column: 2020-21 [AA]",2020-21,LA - District/UA,2020,
